model_id,likes,downloads,fetched_at
deepseek-ai/DeepSeek-R1,12548,987589,2025-08-01 21:14:57.748128
black-forest-labs/FLUX.1-dev,11060,1553245,2025-08-01 21:14:57.748128
CompVis/stable-diffusion-v1-4,6881,968377,2025-08-01 21:14:57.748128
stabilityai/stable-diffusion-xl-base-1.0,6785,2462863,2025-08-01 21:14:57.748128
meta-llama/Meta-Llama-3-8B,6267,412599,2025-08-01 21:14:57.748128
deepseek-ai/DeepSeek-R1,12548,987589,2025-08-01 21:15:05.095742
black-forest-labs/FLUX.1-dev,11060,1553245,2025-08-01 21:15:05.095742
CompVis/stable-diffusion-v1-4,6881,968377,2025-08-01 21:15:05.095742
stabilityai/stable-diffusion-xl-base-1.0,6785,2462863,2025-08-01 21:15:05.095742
meta-llama/Meta-Llama-3-8B,6267,412599,2025-08-01 21:15:05.095742
